requisition_id,main_equipment_name,equipment_serial_no,motor_manufacturing_year,application_use,installed_location,installed_qty,make,model,frame,size,power_rating,kw,kva,rpm,duty_cycle,voltage,current,received_date,received_time,defects_observed,repairs_required,reason_of_failure_id,reason_of_failure_text,warranty_status,previous_refurbishment_job_no,spares_details,service_type_id,service_type_text,equipment_type_id,equipment_type_text,bearing_id,bearing_text,status,created_at,updated_at,created_by,updated_by
508,Pump Motor,EQ10372,2012,Fan/Blower Driving,Power Plant,1,Havells,S261,D225M,5.5 KW,5.47,5.5,6.56,1000,Continuous (S1),415,9.39,2023-02-05,07:02:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-93654,Bearing 6205 2RS,2,Bearing Replacement,3,Pump Motor,1,6205 2RS,CLOSED,2023-02-05 00:00:00,2023-02-08 00:00:00,operator_17,supervisor_02
509,AC Motor,EQ10280,1998,Fan/Blower Driving,Wire Rod Mill,1,Remi,K945,D355M,500.0 KW,490.45,500.0,580.64,750,Continuous (S1),3300,97.83,2023-06-27,14:25:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-91165,Bearing N/A,2,Bearing Replacement,1,AC Motor,11,N/A,DISPATCHED,2023-06-27 00:00:00,2023-07-23 00:00:00,operator_01,supervisor_02
510,Pump Motor,EQ10256,2003,Fan/Blower Driving,Cold Rolling Mill,1,Crompton Greaves,D682,D280S,22.0 KW,21.64,22.0,26.06,1500,Continuous (S1),440,34.93,2023-10-17,18:27:00,Low megger value on phases,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,3,Pump Motor,7,NU 206,DISPATCHED,2023-10-17 00:00:00,2023-10-26 00:00:00,operator_16,supervisor_05
511,DC Motor,EQ10302,2002,Mixer Agitator,Sinter Plant,1,Siemens,S439,D200L,22.0 KW,21.91,22.0,25.64,1000,Intermittent (S3),415,36.75,2025-02-19,21:23:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-89858,Bearing 7206 B,2,Bearing Replacement,2,DC Motor,9,7206 B,DISPATCHED,2025-02-19 00:00:00,2025-02-20 00:00:00,operator_10,supervisor_05
512,Compressor Motor,EQ10325,1995,Rolling Mill Drive,Wire Rod Mill,1,Havells,M897,D315M,5.5 KW,5.4,5.5,6.38,3000,Short Time (S2),440,8.0,2023-06-18,10:56:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-14297,Bearing 22210 E,2,Bearing Replacement,6,Compressor Motor,10,22210 E,CLOSED,2023-06-18 00:00:00,2023-07-14 00:00:00,operator_14,supervisor_03
513,Crane Motor,EQ10171,2001,Mixer Agitator,Blast Furnace,1,GE,M937,D180L,22.0 KW,21.86,22.0,25.14,1500,Continuous (S1),440,31.64,2023-07-11,18:48:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,5,Crane Motor,4,6306 2RS,CLOSED,2023-07-11 00:00:00,2023-08-06 00:00:00,operator_02,supervisor_03
514,DC Motor,EQ10499,1996,Fan/Blower Driving,Bar Mill,1,Siemens,H399,D90L,15.0 KW,14.97,15.0,17.73,1500,Intermittent (S3),3300,3.02,2025-03-09,17:34:00,"Winding overheated, discoloration visible",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-33301,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,9,7206 B,CLOSED,2025-03-09 00:00:00,2025-03-19 00:00:00,operator_14,supervisor_07
515,AC Motor,EQ10159,2009,Cooling Tower Fan,Bar Mill,1,Bharat Bijlee,M672,D250M,37.0 KW,36.29,37.0,42.05,1500,Continuous (S1),415,59.1,2024-04-14,15:57:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-19236,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,3,6305 2RS,CLOSED,2024-04-14 00:00:00,2024-04-19 00:00:00,operator_08,supervisor_03
516,AC Motor,EQ10332,1999,Mixer Agitator,Coke Oven Plant,1,ABB,K642,D315S,18.5 KW,18.46,18.5,20.63,3000,Short Time (S2),440,26.89,2024-02-10,15:52:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing NU 206,2,Bearing Replacement,1,AC Motor,7,NU 206,CLOSED,2024-02-10 00:00:00,2024-02-22 00:00:00,operator_19,supervisor_04
517,Pump Motor,EQ10154,2000,Pump Driving,Coke Oven Plant,1,ABB,H216,D355M,5.5 KW,5.52,5.5,6.16,3000,Continuous (S1),415,8.6,2024-05-20,14:34:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-15028,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,9,7206 B,CLOSED,2024-05-20 00:00:00,2024-05-28 00:00:00,operator_10,supervisor_02
518,Crane Motor,EQ10072,2000,Fan/Blower Driving,Wire Rod Mill,1,Siemens,H886,D160L,11.0 KW,10.85,11.0,12.78,1500,Intermittent (S3),415,16.93,2024-10-10,21:25:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-26442,Bearing 6205 2RS,2,Bearing Replacement,5,Crane Motor,1,6205 2RS,CLOSED,2024-10-10 00:00:00,2024-10-24 00:00:00,operator_15,supervisor_03
519,Blower Motor,EQ10482,2002,Compressor Driving,Cold Rolling Mill,1,Bharat Bijlee,H321,D280M,5.5 KW,5.43,5.5,6.36,1500,Short Time (S2),440,8.33,2024-03-11,13:33:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-14959,"Copper wire, Insulation paper, Varnish",1,Rewinding,4,Blower Motor,9,7206 B,CLOSED,2024-03-11 00:00:00,2024-04-02 00:00:00,operator_16,supervisor_07
520,AC Motor,EQ10335,2022,Crane Hoisting,Power Plant,1,WEG,D178,D180L,7.5 KW,7.54,7.5,8.43,1000,Intermittent (S3),440,10.77,2024-01-24,16:39:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-32218,"Grease, Cleaning agents",6,Shaft Repair,1,AC Motor,8,NU 308,CLOSED,2024-01-24 00:00:00,2024-02-12 00:00:00,operator_02,supervisor_01
521,AC Motor,EQ10062,2002,Compressor Driving,Power Plant,1,GE,M234,D280S,132.0 KW,131.13,132.0,144.42,1000,Continuous (S1),440,191.93,2025-10-13,07:50:00,Rotor rubbing against stator,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-42735,Bearing 6205 2RS,2,Bearing Replacement,1,AC Motor,1,6205 2RS,DISPATCHED,2025-10-13 00:00:00,2025-10-25 00:00:00,operator_02,supervisor_02
522,AC Motor,EQ10370,2014,Conveyor Belt,Hot Strip Mill,1,Siemens,S247,D80,132.0 KW,130.04,132.0,154.95,750,Short Time (S2),415,207.05,2025-08-23,19:03:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-90913,Bearing 22210 E,2,Bearing Replacement,1,AC Motor,10,22210 E,CLOSED,2025-08-23 00:00:00,2025-09-16 00:00:00,operator_03,supervisor_04
523,AC Motor,EQ10377,2006,Pump Driving,Wire Rod Mill,1,GE,S955,D100L,7.5 KW,7.54,7.5,8.18,1000,Intermittent (S3),415,11.3,2023-05-21,19:57:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,2,6206 2RS,CLOSED,2023-05-21 00:00:00,2023-06-06 00:00:00,operator_12,supervisor_01
524,Pump Motor,EQ10154,2000,Pump Driving,Coke Oven Plant,1,ABB,D359,D355M,5.5 KW,5.52,5.5,6.16,3000,Continuous (S1),415,8.6,2025-12-30,14:18:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-71608,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,1,6205 2RS,CLOSED,2025-12-30 00:00:00,2026-01-05 00:00:00,operator_04,supervisor_05
525,DC Motor,EQ10084,2019,Mixer Agitator,Wire Rod Mill,1,Siemens,K214,D250M,200.0 KW,200.54,200.0,219.17,1500,Continuous with Intermittent Load (S6),3300,37.12,2024-03-14,16:12:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,2,DC Motor,10,22210 E,CLOSED,2024-03-14 00:00:00,2024-03-26 00:00:00,operator_12,supervisor_02
526,Blower Motor,EQ10032,2001,Fan/Blower Driving,Hot Strip Mill,1,WEG,K646,D225M,11.0 KW,11.16,11.0,12.88,3000,Continuous (S1),415,18.69,2024-10-31,19:17:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-13055,Bearing NU 206,2,Bearing Replacement,4,Blower Motor,7,NU 206,CLOSED,2024-10-31 00:00:00,2024-11-23 00:00:00,operator_10,supervisor_01
527,AC Motor,EQ10290,1997,Compressor Driving,Wire Rod Mill,1,Toshiba,H319,D160L,18.5 KW,18.25,18.5,22.25,1000,Continuous (S1),3300,3.7,2023-02-24,08:07:00,Insulation resistance below acceptable limit,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,JOB-35727,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,10,22210 E,DISPATCHED,2023-02-24 00:00:00,2023-03-12 00:00:00,operator_10,supervisor_04
528,Pump Motor,EQ10010,2020,Crane Hoisting,Hot Strip Mill,1,Siemens,E221,D280S,7.5 KW,7.56,7.5,8.59,1000,Continuous (S1),415,11.93,2024-08-21,07:10:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-67026,"Copper wire, Insulation paper, Varnish",1,Rewinding,3,Pump Motor,7,NU 206,DISPATCHED,2024-08-21 00:00:00,2024-09-05 00:00:00,operator_11,supervisor_03
529,Pump Motor,EQ10176,2011,Compressor Driving,Cold Rolling Mill,1,Kirloskar,K653,D90L,315.0 KW,318.27,315.0,345.46,1500,Periodic (S5),3300,58.09,2023-04-02,14:10:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6307 2RS,2,Bearing Replacement,3,Pump Motor,5,6307 2RS,CLOSED,2023-04-02 00:00:00,2023-04-16 00:00:00,operator_02,supervisor_04
530,AC Motor,EQ10327,2001,Rolling Mill Drive,Coke Oven Plant,1,ABB,D429,D280S,5.5 KW,5.43,5.5,6.64,1500,Continuous (S1),415,8.85,2024-09-30,16:29:00,Excessive vibration from drive end bearing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-22985,Bearing NU 308,2,Bearing Replacement,1,AC Motor,8,NU 308,CLOSED,2024-09-30 00:00:00,2024-10-22 00:00:00,operator_17,supervisor_06
531,Pump Motor,EQ10209,2004,Compressor Driving,Hot Strip Mill,1,ABB,D425,D90L,45.0 KW,45.48,45.0,50.17,3000,Intermittent (S3),415,70.91,2025-01-31,19:58:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing N/A,2,Bearing Replacement,3,Pump Motor,11,N/A,CLOSED,2025-01-31 00:00:00,2025-02-09 00:00:00,operator_12,supervisor_05
532,Pump Motor,EQ10203,2002,Hydraulic Press,Cold Rolling Mill,1,Havells,M882,D355M,7.5 KW,7.61,7.5,8.4,1500,Intermittent (S3),440,10.63,2023-07-05,14:24:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",4,Alignment Correction,3,Pump Motor,1,6205 2RS,DISPATCHED,2023-07-05 00:00:00,2023-07-09 00:00:00,operator_09,supervisor_07
533,Crane Motor,EQ10182,1996,Conveyor Belt,Wire Rod Mill,1,WEG,E186,D180M,90.0 KW,88.26,90.0,100.51,3000,Periodic (S5),415,144.1,2023-07-30,14:27:00,Surface tracking on insulation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,JOB-72866,"Grease, Cleaning agents",5,Insulation Repair,5,Crane Motor,7,NU 206,CLOSED,2023-07-30 00:00:00,2023-08-02 00:00:00,operator_03,supervisor_02
534,AC Motor,EQ10180,2004,Compressor Driving,Sinter Plant,1,Siemens,K112,D80,30.0 KW,30.2,30.0,33.46,3000,Continuous (S1),3300,6.02,2023-06-27,14:14:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-33798,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,7,NU 206,DISPATCHED,2023-06-27 00:00:00,2023-07-12 00:00:00,operator_18,supervisor_07
535,AC Motor,EQ10024,1996,Compressor Driving,Blast Furnace,1,Havells,E783,D280S,18.5 KW,18.17,18.5,20.97,1000,Continuous (S1),440,26.37,2023-02-22,07:03:00,Low megger value on phases,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,JOB-93000,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,5,6307 2RS,CLOSED,2023-02-22 00:00:00,2023-02-23 00:00:00,operator_07,supervisor_03
536,Pump Motor,EQ10210,1998,Crane Hoisting,Power Plant,1,Crompton Greaves,H219,D355M,11.0 KW,11.2,11.0,13.24,1500,Continuous (S1),415,18.98,2024-05-26,17:19:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-82869,"Grease, Cleaning agents",6,Shaft Repair,3,Pump Motor,1,6205 2RS,CLOSED,2024-05-26 00:00:00,2024-06-04 00:00:00,operator_02,supervisor_07
537,DC Motor,EQ10353,2005,Mixer Agitator,Coke Oven Plant,1,Havells,M872,D280M,11.0 KW,11.04,11.0,13.17,1000,Continuous (S1),415,18.2,2023-12-01,21:07:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6306 2RS,2,Bearing Replacement,2,DC Motor,4,6306 2RS,DISPATCHED,2023-12-01 00:00:00,2023-12-19 00:00:00,operator_16,supervisor_07
538,DC Motor,EQ10298,2003,Conveyor Belt,Wire Rod Mill,1,Kirloskar,H889,D80,45.0 KW,44.52,45.0,54.52,1500,Continuous (S1),440,70.66,2023-01-05,07:23:00,Insulation resistance low on winding,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-61782,"Copper wire, Insulation paper, Varnish",1,Rewinding,2,DC Motor,4,6306 2RS,DISPATCHED,2023-01-05 00:00:00,2023-01-20 00:00:00,operator_05,supervisor_07
539,Pump Motor,EQ10049,2000,Crane Hoisting,Bar Mill,1,ABB,K317,D132S,7.5 KW,7.41,7.5,8.46,1500,Continuous (S1),440,10.73,2025-05-19,07:26:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-76836,Bearing 6305 2RS,2,Bearing Replacement,3,Pump Motor,3,6305 2RS,CLOSED,2025-05-19 00:00:00,2025-05-21 00:00:00,operator_14,supervisor_07
540,DC Motor,EQ10266,1999,Mixer Agitator,Cold Rolling Mill,1,Bharat Bijlee,S135,D160L,5.5 KW,5.46,5.5,6.51,1000,Intermittent (S3),415,8.85,2025-09-13,20:43:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-72670,Bearing 6305 2RS,2,Bearing Replacement,2,DC Motor,3,6305 2RS,CLOSED,2025-09-13 00:00:00,2025-10-04 00:00:00,operator_08,supervisor_03
541,AC Motor,EQ10282,2021,Mixer Agitator,Coke Oven Plant,1,Crompton Greaves,D721,D200L,1.5 KW,1.5,1.5,1.69,1500,Short Time (S2),415,2.27,2025-10-01,12:40:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,7,NU 206,CLOSED,2025-10-01 00:00:00,2025-10-09 00:00:00,operator_05,supervisor_06
542,AC Motor,EQ10031,2005,Pump Driving,Cold Rolling Mill,1,Bharat Bijlee,K452,D112M,5.5 KW,5.4,5.5,6.43,1500,Continuous (S1),415,9.34,2025-11-20,11:34:00,Coupling misalignment detected,Alignment corrected. Coupling replaced. Foundation bolts tightened.,6,Vibration Damage,Out of Warranty,JOB-67290,"Grease, Cleaning agents",4,Alignment Correction,1,AC Motor,1,6205 2RS,DISPATCHED,2025-11-20 00:00:00,2025-12-06 00:00:00,operator_16,supervisor_03
543,AC Motor,EQ10109,2005,Crane Hoisting,Blast Furnace,1,Havells,D248,D225S,22.0 KW,21.95,22.0,26.7,1500,Intermittent (S3),440,33.85,2023-10-27,18:23:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6306 2RS,2,Bearing Replacement,1,AC Motor,4,6306 2RS,CLOSED,2023-10-27 00:00:00,2023-11-11 00:00:00,operator_12,supervisor_03
544,Blower Motor,EQ10320,2005,Pump Driving,Wire Rod Mill,1,ABB,E358,D132M,75.0 KW,74.79,75.0,85.81,3000,Continuous (S1),415,123.49,2023-09-02,11:08:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-33225,Bearing N/A,2,Bearing Replacement,4,Blower Motor,11,N/A,CLOSED,2023-09-02 00:00:00,2023-09-12 00:00:00,operator_06,supervisor_06
545,AC Motor,EQ10194,2012,Mixer Agitator,Hot Strip Mill,1,Kirloskar,D724,D90L,3.7 KW,3.75,3.7,4.14,1500,Periodic (S5),415,5.77,2023-03-31,13:31:00,Phase imbalance detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,2,6206 2RS,DISPATCHED,2023-03-31 00:00:00,2023-04-14 00:00:00,operator_05,supervisor_07
546,AC Motor,EQ10331,2014,Cooling Tower Fan,Blast Furnace,1,Havells,K886,D160M,45.0 KW,45.89,45.0,53.12,1500,Continuous (S1),415,70.81,2023-01-22,20:06:00,Inter-turn short circuit detected,Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,3,6305 2RS,CLOSED,2023-01-22 00:00:00,2023-02-07 00:00:00,operator_15,supervisor_05
547,Blower Motor,EQ10471,2020,Rolling Mill Drive,Power Plant,1,Kirloskar,K267,D355L,3.7 KW,3.73,3.7,4.03,1500,Continuous (S1),415,5.88,2025-10-05,09:47:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-23421,Bearing NU 206,2,Bearing Replacement,4,Blower Motor,7,NU 206,DISPATCHED,2025-10-05 00:00:00,2025-10-11 00:00:00,operator_14,supervisor_07
548,DC Motor,EQ10117,2008,Crane Hoisting,Coke Oven Plant,1,GE,K397,D132S,5.5 KW,5.42,5.5,6.02,1500,Continuous (S1),415,7.99,2024-03-17,20:00:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 6308 2RS,2,Bearing Replacement,2,DC Motor,6,6308 2RS,CLOSED,2024-03-17 00:00:00,2024-04-06 00:00:00,operator_11,supervisor_06
549,Blower Motor,EQ10139,2023,Conveyor Belt,Hot Strip Mill,1,Bharat Bijlee,S669,D132M,7.5 KW,7.45,7.5,8.24,1000,Periodic (S5),415,11.85,2025-08-26,09:52:00,"Bearing seized, motor stalled",Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-97897,Bearing 6305 2RS,2,Bearing Replacement,4,Blower Motor,3,6305 2RS,DISPATCHED,2025-08-26 00:00:00,2025-09-17 00:00:00,operator_09,supervisor_02
550,AC Motor,EQ10304,2002,Pump Driving,Coke Oven Plant,1,Crompton Greaves,K123,D132S,30.0 KW,29.78,30.0,34.05,1500,Intermittent (S3),3300,6.06,2025-06-22,06:27:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-52723,Bearing 6206 2RS,2,Bearing Replacement,1,AC Motor,2,6206 2RS,CLOSED,2025-06-22 00:00:00,2025-07-07 00:00:00,operator_18,supervisor_04
551,AC Motor,EQ10309,2005,Pump Driving,Hot Strip Mill,1,Bharat Bijlee,H994,D132M,3.7 KW,3.73,3.7,4.1,1500,Continuous (S1),415,5.48,2025-04-29,19:04:00,Surface tracking on insulation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,8,NU 308,DISPATCHED,2025-04-29 00:00:00,2025-05-27 00:00:00,operator_16,supervisor_06
552,Compressor Motor,EQ10074,2012,Compressor Driving,Blast Furnace,1,Havells,S322,D280M,2.2 KW,2.22,2.2,2.65,1500,Intermittent (S3),415,3.74,2024-12-04,12:44:00,Rotor eccentricity observed,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-38432,Bearing 6305 2RS,2,Bearing Replacement,6,Compressor Motor,3,6305 2RS,CLOSED,2024-12-04 00:00:00,2024-12-07 00:00:00,operator_17,supervisor_05
553,Pump Motor,EQ10203,2002,Hydraulic Press,Cold Rolling Mill,1,Havells,K702,D355M,7.5 KW,7.61,7.5,8.4,1500,Intermittent (S3),440,10.63,2025-12-14,19:57:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,,"Grease, Cleaning agents",6,Shaft Repair,3,Pump Motor,7,NU 206,DISPATCHED,2025-12-14 00:00:00,2025-12-31 00:00:00,operator_01,supervisor_07
554,AC Motor,EQ10417,2019,Pump Driving,Coke Oven Plant,1,ABB,M639,D80,1.5 KW,1.49,1.5,1.76,1500,Continuous (S1),415,2.37,2025-05-18,20:10:00,"Winding burnt, motor tripped on overload",Complete rewinding done. New insulation applied. Impregnation and baking completed.,2,Winding Failure,Out of Warranty,JOB-13333,"Copper wire, Insulation paper, Varnish",1,Rewinding,1,AC Motor,1,6205 2RS,CLOSED,2025-05-18 00:00:00,2025-06-06 00:00:00,operator_13,supervisor_05
555,Blower Motor,EQ10161,1997,Conveyor Belt,Hot Strip Mill,1,Havells,S504,D200L,30.0 KW,29.89,30.0,33.39,1500,Intermittent (S3),415,44.67,2023-11-01,16:46:00,Motor overheating during normal load,Cooling system repaired. Fan replaced. Ventilation passages cleaned.,5,Overheating,Out of Warranty,,"Grease, Cleaning agents",3,General Overhaul,4,Blower Motor,3,6305 2RS,CLOSED,2023-11-01 00:00:00,2023-11-02 00:00:00,operator_08,supervisor_05
556,DC Motor,EQ10018,2019,Fan/Blower Driving,Blast Furnace,1,Bharat Bijlee,S712,D80,30.0 KW,30.49,30.0,32.68,1500,Continuous (S1),415,45.41,2025-04-06,12:29:00,Moisture ingress caused insulation degradation,Insulation restored. Varnish applied and baked. Megger values confirmed acceptable.,4,Insulation Failure,Out of Warranty,,"Grease, Cleaning agents",5,Insulation Repair,2,DC Motor,5,6307 2RS,CLOSED,2025-04-06 00:00:00,2025-04-28 00:00:00,operator_16,supervisor_06
557,DC Motor,EQ10268,2022,Cooling Tower Fan,Sinter Plant,1,Bharat Bijlee,E618,D80,3.7 KW,3.66,3.7,4.31,1000,Continuous (S1),415,6.23,2025-01-28,12:26:00,Air gap irregularity detected,Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-36998,"Grease, Cleaning agents",4,Alignment Correction,2,DC Motor,7,NU 206,CLOSED,2025-01-28 00:00:00,2025-02-15 00:00:00,operator_14,supervisor_02
558,AC Motor,EQ10126,2003,Conveyor Belt,Sinter Plant,1,Toshiba,D953,D160L,3.7 KW,3.76,3.7,4.24,1500,Continuous (S1),415,6.0,2023-10-15,15:57:00,Temperature rise exceeding limits,Cooling system repaired. Fan replaced. Ventilation passages cleaned.,5,Overheating,Out of Warranty,,"Grease, Cleaning agents",6,Shaft Repair,1,AC Motor,7,NU 206,DISPATCHED,2023-10-15 00:00:00,2023-11-03 00:00:00,operator_02,supervisor_05
559,AC Motor,EQ10364,2007,Pump Driving,Power Plant,1,Siemens,D997,D200L,55.0 KW,54.06,55.0,63.4,1500,Continuous (S1),440,86.71,2025-05-30,12:40:00,Grease leakage from bearing housing,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-50449,Bearing 6205 2RS,2,Bearing Replacement,1,AC Motor,1,6205 2RS,DISPATCHED,2025-05-30 00:00:00,2025-06-07 00:00:00,operator_18,supervisor_03
560,DC Motor,EQ10011,2000,Rolling Mill Drive,Blast Furnace,1,Siemens,K382,D315S,1.5 KW,1.48,1.5,1.69,1000,Periodic (S5),415,2.4,2025-09-14,20:45:00,Bearing overheating detected,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,JOB-36015,Bearing N/A,2,Bearing Replacement,2,DC Motor,11,N/A,CLOSED,2025-09-14 00:00:00,2025-09-22 00:00:00,operator_09,supervisor_02
561,AC Motor,EQ10364,2007,Pump Driving,Power Plant,1,Siemens,K342,D200L,55.0 KW,54.06,55.0,63.4,1500,Continuous (S1),440,86.71,2025-04-13,06:49:00,"Rotor bars broken, abnormal sound",Rotor repaired/replaced. Dynamic balancing done. Air gap checked.,3,Rotor Failure,Out of Warranty,JOB-35444,"Grease, Cleaning agents",5,Insulation Repair,1,AC Motor,7,NU 206,CLOSED,2025-04-13 00:00:00,2025-05-06 00:00:00,operator_03,supervisor_01
562,AC Motor,EQ10418,2008,Mixer Agitator,Bar Mill,1,ABB,K747,D160M,55.0 KW,54.02,55.0,66.11,1500,Intermittent (S3),415,87.71,2023-04-22,18:03:00,Bearing noise observed during operation,Bearings replaced and housing cleaned. Shaft journal inspected. Alignment checked.,1,Bearing Failure,Out of Warranty,,Bearing 22210 E,2,Bearing Replacement,1,AC Motor,10,22210 E,CLOSED,2023-04-22 00:00:00,2023-04-24 00:00:00,operator_18,supervisor_07
